Domain queried,Query_Packet_Creation_s,Wait_for_Encrypted_Response_s,Response_Decryption_and_Verification_s,Total_Time_s
wikipedia.org,0.000685,0.252552,0.000568,0.253805
wikipedia.org,0.000644,0.239567,0.000511,0.240721
wikipedia.org,0.000637,0.317943,0.000534,0.319114
wikipedia.org,0.000673,0.224988,0.000440,0.226101
wikipedia.org,0.000683,0.224327,0.000487,0.225497
wikipedia.org,0.000632,0.235017,0.000471,0.236120
wikipedia.org,0.000775,0.229617,0.000466,0.230858
wikipedia.org,0.000579,0.228685,0.000455,0.229720
wikipedia.org,0.000583,0.243487,0.000432,0.244503
wikipedia.org,0.000581,0.227574,0.000432,0.228587
wikipedia.org,0.000576,0.237588,0.000435,0.238600
wikipedia.org,0.000629,0.230719,0.000432,0.231780
wikipedia.org,0.000571,0.238120,0.000508,0.239198
wikipedia.org,0.000494,0.315563,0.000434,0.316491
wikipedia.org,0.000563,0.240206,0.000438,0.241207
wikipedia.org,0.000608,0.240004,0.000427,0.241039
wikipedia.org,0.000577,0.244781,0.000425,0.245784
wikipedia.org,0.000600,0.239594,0.000437,0.240630
wikipedia.org,0.000620,0.244099,0.000450,0.245170
instagram.com,0.000288,0.334042,0.000597,0.334926
instagram.com,0.000633,0.343892,0.000479,0.345004
instagram.com,0.000454,0.351992,0.000452,0.352898
instagram.com,0.000608,0.335781,0.000491,0.336880
instagram.com,0.000611,0.360042,0.000429,0.361082
instagram.com,0.000582,0.426018,0.000449,0.427049
instagram.com,0.000561,0.314978,0.000495,0.316034
instagram.com,0.000618,0.330401,0.000454,0.331474
instagram.com,0.000566,0.254207,0.000433,0.255207
instagram.com,0.000448,0.226293,0.000429,0.227170
instagram.com,0.000569,0.446876,0.000459,0.447904
instagram.com,0.000579,0.309157,0.000436,0.310171
instagram.com,0.000607,0.453554,0.000437,0.454599
instagram.com,0.000611,0.311468,0.000496,0.312575
instagram.com,0.000610,0.308411,0.000444,0.309466
instagram.com,0.000617,0.480465,0.000445,0.481527
instagram.com,0.000566,0.381648,0.000444,0.382659
instagram.com,0.000580,0.359562,0.000423,0.360566
instagram.com,0.000515,0.240211,0.000480,0.241207
